Sample Filename	Customer	BDI Sample Number	Sample ID	Sample ID	Location	Sample Comments
5509624524876041627213_A01_RRFC-AC13.CEL	SECORE	323010462	RRFC-AC13	RRFC-AC13	Mariott	
5509624524876041627213_A03_RRFC-AC14.CEL	SECORE	323010463	RRFC-AC14	RRFC-AC14	Marie Pampoen	
5509624524876041627213_A05_RRFC-AC15.CEL	SECORE	323010464	RRFC-AC15	RRFC-AC15	Marie Pampoen	
5509624524876041627213_A07_RRFC-AC16.CEL	SECORE	323010465	RRFC-AC16	RRFC-AC16	Watamula	
5509624524876041627213_A09_RRFC-AC17.CEL	SECORE	323010466	RRFC-AC17	RRFC-AC17	Watamula	
5509624524876041627213_A11_RRFC-AC18.CEL	SECORE	323010467	RRFC-AC18	RRFC-AC18	Watamula	
5509624524876041627213_A13_RRFC-AC19.CEL	SECORE	323010468	RRFC-AC19	RRFC-AC19	Pos Pano	
5509624524876041627213_A15_RRFC-AC20.CEL	SECORE	323010469	RRFC-AC20	RRFC-AC20	Pos Pano	
5509624524876041627213_A17_RRFC-AC22.CEL	SECORE	323010470	RRFC-AC22	RRFC-AC22	East point	
5509624524876041627213_A19_RRFC-AC23.CEL	SECORE	323010471	RRFC-AC23	RRFC-AC23	Goby	
5509624524876041627213_A21_RRFC-APRO1.CEL	SECORE	323010472	RRFC-APRO1	RRFC-APRO1	Stella Maris	
5509624524876041627213_A23_RRFC-APRO2.CEL	SECORE	323010473	RRFC-APRO2	RRFC-APRO2	Stella Maris	
5509624524876041627213_C01_RRFC-APRO3.CEL	SECORE	323010474	RRFC-APRO3	RRFC-APRO3	Stella Maris	
5509624524876041627213_C03_RRFC-APAL1.CEL	SECORE	323010475	RRFC-APAL1	RRFC-APAL1	Oostpunt	
5509624524876041627213_C05_RRFC-APAL2.CEL	SECORE	323010476	RRFC-APAL2	RRFC-APAL2	Oostpunt	
5509624524876041627213_C07_RRFC-APAL3.CEL	SECORE	323010477	RRFC-APAL3	RRFC-APAL3	Oostpunt	
5509624524876041627213_C09_RRFC-APAL5.CEL	SECORE	323010478	RRFC-APAL5	RRFC-APAL5	Caracasbaai	
5509624524876041627213_C11_RRFC-APAL6.CEL	SECORE	323010479	RRFC-APAL6	RRFC-APAL6	Baracudda point	
5509624524876041627213_C13_RRFC-APAL7.CEL	SECORE	323010480	RRFC-APAL7	RRFC-APAL7	Directors Bay	
5509624524876041627213_C15_RRFC-APAL8.CEL	SECORE	323010481	RRFC-APAL8	RRFC-APAL8	Cornelisbaai	
5509624524876041627213_C17_RRFC-APAL9.CEL	SECORE	323010482	RRFC-APAL9	RRFC-APAL9	Cornelisbaai	
5509624524876041627213_C19_RRFC-APAL10.CEL	SECORE	323010483	RRFC-APAL10	RRFC-APAL10	Avila Beach	
5509624524876041627213_C21_RRFC-APAL11.CEL	SECORE	323010484	RRFC-APAL11	RRFC-APAL11	Parasassa	
5509624524876041627213_C23_RRFC-APAL12.CEL	SECORE	323010485	RRFC-APAL12	RRFC-APAL12	Parasassa	
5509624524876041627213_E01_RRFC-APAL13.CEL	SECORE	323010486	RRFC-APAL13	RRFC-APAL13	Double Reef	
5509624524876041627213_E03_RRFC-APAL14.CEL	SECORE	323010487	RRFC-APAL14	RRFC-APAL14	Penstraat	
5509624524876041627213_E05_RRFC-APAL15.CEL	SECORE	323010488	RRFC-APAL15	RRFC-APAL15	CRA 110.5	
5509624524876041627213_E07_RRFC-APAL16.CEL	SECORE	323010489	RRFC-APAL16	RRFC-APAL16	CRA110 110.5	
5509624524876041627213_E09_TUG-1.CEL	SECORE	323010490	TUG-1	TUG-1	Tugboat	
5509624524876041627213_E11_TUG-2.CEL	SECORE	323010491	TUG-2	TUG-2	Tugboat	
5509624524876041627213_E13_TUG-3.CEL	SECORE	323010492	TUG-3	TUG-3	Tugboat	
5509624524876041627213_E15_TUG-4.CEL	SECORE	323010493	TUG-4	TUG-4	Tugboat	
5509624524876041627213_E17_TUG-5.CEL	SECORE	323010494	TUG-5	TUG-5	Tugboat	
5509624524876041627213_E19_TUG-6.CEL	SECORE	323010495	TUG-6	TUG-6	Tugboat	
5509624524876041627213_E21_HUN-1.CEL	SECORE	323010496	HUN-1	HUN-1	Playa Hundu	
5509624524876041627213_E23_HUN-2.CEL	SECORE	323010497	HUN-2	HUN-2	Playa Hundu	
5509624524876041627213_G01_HUN-3.CEL	SECORE	323010498	HUN-3	HUN-3	Playa Hundu	
5509624524876041627213_G03_HUN-4.CEL	SECORE	323010499	HUN-4	HUN-4	Playa Hundu	
5509624524876041627213_G05_SECORE-42.CEL	SECORE	323010500	SECORE-42	SECORE-42	Marie Pampoen	
5509624524876041627213_G07_SECORE-43.CEL	SECORE	323010501	SECORE-43	SECORE-43	Marie Pampoen	
5509624524876041627213_G09_SECORE-45.CEL	SECORE	323010502	SECORE-45	SECORE-45	Stella Maris	
5509624524876041627213_G11_SECORE-46.CEL	SECORE	323010503	SECORE-46	SECORE-46	Stella Maris	
5509624524876041627213_G13_SECORE-47.CEL	SECORE	323010504	SECORE-47	SECORE-47	Stella Maris	
5509624524876041627213_G15_SECORE-48.CEL	SECORE	323010505	SECORE-48	SECORE-48	Stella Maris	
5509624524876041627213_G17_SECORE-49.CEL	SECORE	323010506	SECORE-49	SECORE-49	Stella Maris	
5509624524876041627213_G19_SECORE-50.CEL	SECORE	323010507	SECORE-50	SECORE-50	Stella Maris	
5509624524876041627213_G21_SECORE-51.CEL	SECORE	323010508	SECORE-51	SECORE-51	Stella Maris	
5509624524876041627213_G23_SECORE-52.CEL	SECORE	323010509	SECORE-52	SECORE-52	Stella Maris	
5509624524876041627213_I01_SECORE-53.CEL	SECORE	323010510	SECORE-53	SECORE-53	Stella Maris	
5509624524876041627213_I03_SECORE-55.CEL	SECORE	323010511	SECORE-55	SECORE-55	Stella Maris	
5509624524876041627213_I05_SECORE-56.CEL	SECORE	323010512	SECORE-56	SECORE-56	Stella Maris	
5509624524876041627213_I07_SECORE-57.CEL	SECORE	323010513	SECORE-57	SECORE-57	Stella Maris	
5509624524876041627213_I09_SECORE-72.CEL	SECORE	323010514	SECORE-72	SECORE-72	Spanish Water	
5509624524876041627213_I11_SECORE-73.CEL	SECORE	323010515	SECORE-73	SECORE-73	Spanish Water	
5509624524876041627213_I13_SECORE-74.CEL	SECORE	323010516	SECORE-74	SECORE-74	Spanish Water	
5509624524876041627213_I15_SECORE-85.CEL	SECORE	323010517	SECORE-85	SECORE-85	Spanish Water	
5509624524876041627213_I17_SECORE-86.CEL	SECORE	323010518	SECORE-86	SECORE-86	Spanish Water	
5509624524876041627213_I19_SECORE-87.CEL	SECORE	323010519	SECORE-87	SECORE-87	Spanish Water	
5509624524876041627213_I21_SECORE-93.CEL	SECORE	323010520	SECORE-93	SECORE-93	Marie Pampoen	
5509624524876041627213_I23_SECORE-94.CEL	SECORE	323010521	SECORE-94	SECORE-94	Marie Pampoen	
5509624524876041627213_K01_SECORE-96.CEL	SECORE	323010522	SECORE-96	SECORE-96	Marie Pampoen	
5509624524876041627213_K03_SECORE-97.CEL	SECORE	323010523	SECORE-97	SECORE-97	Marie Pampoen	
5509624524876041627213_K05_SECORE-143.CEL	SECORE	323010524	SECORE-143	SECORE-143	Marie Pampoen	
5509624524876041627213_K07_SECORE-144.CEL	SECORE	323010525	SECORE-144	SECORE-144	Marie Pampoen	
5509624524876041627213_K09_SECORE-145.CEL	SECORE	323010526	SECORE-145	SECORE-145	Marie Pampoen	
5509624524876041627213_K11_SECORE-146.CEL	SECORE	323010527	SECORE-146	SECORE-146	Marie Pampoen	
5509624524876041627213_K13_SECORE-147.CEL	SECORE	323010528	SECORE-147	SECORE-147	Marie Pampoen	
5509624524876041627213_K15_SECORE-148.CEL	SECORE	323010529	SECORE-148	SECORE-148	Piscadera Bay	
